,accuracy,precision,recall,f1,log_loss
OurProject,0.7366666666666667,0.7364864864864865,0.7315436241610739,0.734006734006734,0.4084948448443055
LogisticRegression,0.8633333333333333,0.8724137931034482,0.8489932885906041,0.8605442176870748,0.3318028436716357
RandomForest,0.9116666666666666,0.9180887372013652,0.9026845637583892,0.9103214890016921,0.27591312110272126
SVM,0.9583333333333334,0.9504950495049505,0.9664429530201343,0.9584026622296173,0.1405340123530548
